id,name,
1,"Uncategorised",
2,"British Culture",
3,"Class sets",
4,"Course books, Cambridge Advanced",
5,"Course books, Cambridge Proficiency",
6,"Course books, Cambridge First",
7,"Course books, EAP",
8,"Course books, IELTS",
9,"Course books, IELTS skills",
10,"Course books, TOEIC / TOEFL",
11,"Miscellaneous/Uncategorised",
12,"Business",
13,"ELS Economics",
14,"ELS Engineering",
15,"ELS IT",
16,"ELS Law",
17,"ELS Management",
18,"ELS Medical",
19,"ELS Politics",
20,"ELS Science",
21,"ELS Tech",
22,"ELS Writing",
23,"Grammar, Academic",
24,"Grammar, General",
25,"Journals (back issues)",
26,"Integrated Skills, Advanced",
27,"Integrated Skills, Elementary",
28,"Integrated Skills, Intermediate",
29,"Integrated Skills, Pre-intermediate",
30,"Integrated Skills, Upper intermediate",
31,"Listening, Academic",
32,"Listening, General",
33,"Partners English Teaching Resources",
34,"Pronunciation, Academic",
35,"Pronunciation, General",
36,"Reading, Academic",
37,"Reading, General",
39,"Speaking, Academic",
40,"Speaking, General",
41,"Study Skills",
42,"Teacher Development",
43,"Vocabulary, General",
44,"Writing, Academic",
45,"Activities",
46,"Vocabulary, Academic",
47,"ESAP",
48,"DVD Films and Documentaries",
49,"Presentations",
50,,
51,,
52,,
53,,
