id,isbn,title,author,publisher,year,month,day,,,,que,category_id
93,"9781908614377","Reading","John Slaght.","Garnet Education",2012,11,11,,,,"QUEUE1",36
94,"9780521476584","Academic encounters : reading, study skills, and writing : content focus, human behavior","Bernard Seal.","Cambridge University Press",2002,3,3,,,,"QUEUE1",36
95,"9780131588677","From reading to writing.","Colin Ward ; series editor, Linda Robinson Fellag.","Pearson Longman",2010,2,2,,,,"QUEUE1",36
96,"9780131402010","Exploring content : tests and answer keys","Lorraine C. Smith.","Longman",2005,2,2,,,,"QUEUE1",36
97,"9781859644898","Fast Track to Reading","Peter Viney","",2009,12,12,,,,"QUEUE1",36
98,"9781859645130","Fast Track to Reading","Peter Viney","Garnet Education",2009,2,2,,,,"QUEUE1",36
99,"9780136133681","NorthStar, Reading and Writing","Laurie Barton, Carolyn DuPaquier Sardinas","Pearson Longman",2008,2,2,,,,"QUEUE1",36
100,"9780132330961","From Reading to Writing 3","Linda Robinson Fellag","Allyn & Bacon",2010,2,2,,,,"QUEUE1",36
101,"9780136127802","From Reading to Writing","Karen Blanchard, Lynn Bonesteel","Allyn & Bacon",2010,2,2,,,,"QUEUE1",36
102,"9780132050661","From Reading to Writing","Lynn Bonesteel","Allyn & Bacon",2010,3,3,,,,"QUEUE1",36
103,"9780194416153","Inside Reading 4: Student Pack","Arline Burgmeier, Lawrence J. Zwier, Bruce Rubin, Kent Richmond","OUP Oxford",2007,6,6,,,,"QUEUE1",36
104,"9780194416306","Inside Reading Second Edition: 4: Student Book","Kent Richmond","OUP Oxford",2012,2,2,,,,"QUEUE1",36
105,"9780194416146","Inside Reading 3: Student Pack","Arline Burgmeier, Lawrence J. Zwier, Bruce Rubin, Kent Richmond","OUP Oxford",2007,3,3,,,,"QUEUE1",36
106,"9780194416122","Inside Reading 1: Student Pack","Arline Burgmeier, Lawrence J. Zwier, Bruce Rubin, Kent Richmond","OUP Oxford",2007,4,4,,,,"QUEUE1",36
107,"9780194416290","Inside Reading Second Edition: 3: Student Book","Bruce Rubin","OUP Oxford",2012,7,7,,,,"QUEUE1",36
108,"9780007507115","Research","Anneli Williams","Harpercollins Pub Limited",2013,2,2,,,,"QUEUE1",36
109,"9780131990272","Advanced Reading Power","Beatrice S. Mikulecky, Linda Jeffries","Allyn & Bacon",2007,5,5,,,,"QUEUE1",36
110,"9780521469081","Study Tasks in English Teacher\'s Book","Mary Waters, Alan Waters","Cambridge University Press",1996,6,6,,,,"QUEUE1",36
111,"9780521547765","Study Reading","Eric H. Glendinning, Beverly Holmstr�m","Cambridge University Press",2004,2,2,,,,"QUEUE1",36
112,"9780007542314","Collins English for Life: Reading B2","Naomi Styles","Collins",2014,2,2,,,,"QUEUE1",36
113,"9780007458714","Reading","Anna Osborn","Collins",2012,2,2,,,,"QUEUE1",36
114,"9780007497744","Reading A2","Anna Osborn","Collins",2013,2,2,,,,"QUEUE1",36
115,"9781107614031","Unlock : reading and writing skills.","Jeremy Day","",2014,2,2,,,,"QUEUE1",36
116,"9781107615267","Unlock : reading and writing skills.","Carolyn Westbrook","Cambridge Univ Press",2014,1,1,,,,"QUEUE1",36
117,"9781107614017","Unlock : reading and writing skills.","Andrew Scott","",2014,2,2,,,,"QUEUE1",36
118,"9780131402003","Exploring Content","Lorraine C. Smith","Allyn & Bacon",2004,2,2,,,,"QUEUE1",36
119,"9780131401983","Exploring Content","Lorraine C. Smith","Allyn & Bacon",2004,4,4,,,,"QUEUE1",36
120,"9781859645185","Reading & Writing","John Slaght, Paddy Harben, Anne Pallant","",2009,2,2,,,,"QUEUE1",36
121,"9781908614360","English for Academic Study","John Slaght, Anne Pallant","",2012,11,11,,,,"QUEUE1",36
122,"9780132336758","Northstar Reading/Writing Level 5 Teachers Manual with Unit Achievement Tests","Judy L. Miller","",2008,2,2,,,,"QUEUE1",36
123,"9780132336765","Northstar 5 Reading and Writing","Judy L. Miller, Robert F. Cohen","Allyn & Bacon",2009,2,2,,,,"QUEUE1",36
124,"9780136133193","NorthStar 4 reading and writing.",,"Pearson",2008,2,2,,,,"QUEUE1",36
125,"9780136133186","Northstar - Reading and Writing, Level 4","Andrew K. English, Laura Monahon English","Allyn & Bacon",2008,2,2,,,,"QUEUE1",36
126,"9780136133698","NorthStar, Reading and Writing 3, Teacher's Manual and Unit Achievement Tests","Laurie Barton, Carolyn DuPaquier Sardinas","",2008,2,2,,,,"QUEUE1",36
127,"9780132409902","NorthStar","Natasha Haugnes, Beth Maher","",2008,2,2,,,,"QUEUE1",36
128,"9780132409919","NorthStar, Reading and Writing","Natasha Haugnes, Beth Maher","Allyn & Bacon",2009,2,2,,,,"QUEUE1",36
129,"9780132336437","NorthStar, Reading and Writing","John Beaumont","Pearson Longman",2008,2,2,,,,"QUEUE1",36
130,"9780132336451","NorthStar, Reading and Writing","John Beaumont","Allyn & Bacon",2008,2,2,,,,"QUEUE1",36
131,"9782761341455","Learning English for Academic Purposes","Julia Williams","Allyn & Bacon",2012,6,6,,,,"QUEUE1",36
